index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
1086,tm147518,City of God: 10 Years Later,MOVIE,2013,PG,69,['documentation'],US,,tt4103686,6.4,1299
1087,tm183706,Birth Reborn,MOVIE,2013,,91,"['documentation', 'family', 'history']",GB,,tt2974412,7.8,249
1088,tm178513,Bombay Talkies,MOVIE,2013,PG-13,127,['drama'],US,,tt2797242,6.6,5372
1089,tm182322,Kai Po Che!,MOVIE,2013,,126,"['drama', 'sport']",US,,tt2213054,7.8,36512
1090,tm236725,My Beautiful Broken Brain,MOVIE,2014,,84,['documentation'],US,,tt3815136,7.1,2257
1091,tm153055,Mitt,MOVIE,2014,,93,"['documentation', 'family']",US,,tt3336722,6.9,2579
1092,tm142630,Ragini MMS 2,MOVIE,2014,PG-13,120,['horror'],US,,tt2609218,3.9,2870
1093,tm185797,Fukrey,MOVIE,2013,PG-13,137,"['romance', 'comedy', 'drama']",US,,tt2806788,6.9,11656
1094,tm154729,Dedh Ishqiya,MOVIE,2014,R,152,"['drama', 'romance', 'thriller', 'comedy']",US,,tt2675978,7,7179
1095,tm148457,Hasee Toh Phasee,MOVIE,2014,PG-13,141,"['comedy', 'romance']",GB,,tt3173910,6.8,14916
1096,tm145627,Pizza,MOVIE,2014,,107,"['horror', 'thriller']",GB,,tt3794302,6.2,1285
1097,tm158302,Ankhon Dekhi,MOVIE,2014,,104,"['drama', 'comedy']",US,,tt3620858,8,11330
1098,tm140334,Sniper: Legacy,MOVIE,2014,R,94,"['thriller', 'european']",GB,,,,
1099,ts121189,"Raja, Rasoi Aur Anya Kahaniyaan",SHOW,2014,,29,"['history', 'documentation']",US,3,tt6953924,9,327
1100,tm186161,Boss,MOVIE,2013,PG-13,143,"['action', 'comedy', 'crime', 'drama']",US,,tt2763724,5.3,11059
1101,ts34074,"That Winter, the Wind Blows",SHOW,2013,TV-MA,63,['drama'],US,1,tt2806646,7.6,1803
1102,tm209037,Tea Time,MOVIE,2014,,70,['documentation'],US,,tt4147684,7.6,480
1103,tm348393,When Love Happens,MOVIE,2014,,109,['romance'],US,,tt4094916,4.8,128
1104,tm151927,Mary Kom,MOVIE,2014,PG-13,122,"['drama', 'sport', 'action']",US,,tt3001638,6.9,10656
1105,ts122290,Dharmakshetra,SHOW,2014,TV-14,44,['drama'],US,1,tt6803712,8.2,247
1106,tm169669,Four Sisters and a Wedding,MOVIE,2013,,126,"['drama', 'comedy']",US,,tt3008034,7.2,789
1107,tm175812,Special 26,MOVIE,2013,,144,"['thriller', 'crime', 'drama']",GB,,tt2377938,8,55489
1108,tm181550,Once Upon a Time in Mumbai Dobaara!,MOVIE,2013,,160,"['crime', 'drama', 'romance', 'action']",GB,,tt5037702,4.6,7127
1109,tm228574,Swearnet Live,MOVIE,2014,,75,['comedy'],US,,tt3599642,5.4,519
1110,tm149914,Jim Jefferies: Bare,MOVIE,2014,R,76,['comedy'],GB,,tt3958494,8,5407
1111,tm145216,Dabbe 5: Zehr-i Cin,MOVIE,2014,R,132,['horror'],US,,tt3886722,6,3708
1112,tm149747,The Perfect Dictatorship,MOVIE,2014,,143,"['comedy', 'drama']",US,,tt3970854,7.2,5370
1113,tm140911,Imperial Dreams,MOVIE,2014,,87,['drama'],US,,tt3331028,6.7,4452
1114,tm158692,Liar's Dice,MOVIE,2013,,104,"['drama', 'crime', 'thriller', 'family']",US,,tt2343621,6.8,1069
1115,tm137379,Silent,MOVIE,2014,,3,"['animation', 'family', 'action']",US,,,,
